Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites,retweets
Hearthstone,1209608880,877640,"@LeBruce We also have French, German, Spanish, Italian, Polish and Czech covered! 
You can find the French info her… https://t.co/4M769sfEhw",[],Fri Apr 05 09:42:51 +0000 2019,4,2
Hearthstone,1209608880,877640,"Now live! It is time for another exclusive Rise of Shadows theorycrafting stream with Theo:
🔴… https://t.co/BZj8fbvK6t",[],Fri Apr 05 09:20:37 +0000 2019,107,10
Hearthstone,1209608880,877640,"Starting today, login on either iOS, Android, or PC to add a special card back to your collection! Each card back c… https://t.co/v1K66884fm",[],Thu Apr 04 21:30:01 +0000 2019,801,189
Hearthstone,1209608880,877640,"Login to claim Archmage Vargoth, for free! This Legendary spinner of spells can be played right now in Standard &amp; W… https://t.co/pBHOas7Mpc",[],Thu Apr 04 19:00:02 +0000 2019,437,85
Hearthstone,1209608880,877640,"Live Now! Watch some of your favorite streamers craft decks and play #RiseOfShadows in its entirety! 

-… https://t.co/YQY0lpLRzl",RiseOfShadows,Thu Apr 04 17:24:26 +0000 2019,152,23
Hearthstone,1209608880,877640,"Update 14.0 is now live on PC, with mobile arriving later today. In this update we’re sharpening swords in preparat… https://t.co/bnMDVNXstl",[],Thu Apr 04 17:03:32 +0000 2019,258,42
Hearthstone,1209608880,877640,"The Rise of Shadows card reveals have been completed! ✔️

Which card are you going to craft first? 🤩

Full gallery… https://t.co/wee2N6xOB2",[],Thu Apr 04 14:00:08 +0000 2019,550,65
Hearthstone,1209608880,877640,"Take a look at every card coming to Hearthstone in our newest expansion, #RiseOfShadows!

👀 https://t.co/ti2cm24jrM https://t.co/VIrZm4dKag",RiseOfShadows,Wed Apr 03 20:32:11 +0000 2019,332,70
Hearthstone,1209608880,877640,"The final card reveal livestream for #RiseOfShadows is now live! Get in here! 

👉 https://t.co/JiM7V4OBre https://t.co/7VkG4EBeuI",RiseOfShadows,Wed Apr 03 16:50:59 +0000 2019,132,21
Hearthstone,1209608880,877640,"RT @TeamTespa: This weekend, our Tespa chapters are hosting 10 Pre-Release Parties for the new @PlayHearthstone expansion! 

Check it out 👉…",[],Tue Apr 02 23:06:34 +0000 2019,57,13
Hearthstone,1209608880,877640,"Will you aid them in their mission to take Dalaran for all its got? #RiseOfShadows

Full Card Gallery:… https://t.co/joFDmWQuJ7",RiseOfShadows,Tue Apr 02 21:25:40 +0000 2019,132,12
Hearthstone,1209608880,877640,"The League of E.V.I.L. has many advanced tools for subterfuge, infiltration, and general malfeasance!… https://t.co/0nd73moXeE",[],Tue Apr 02 21:25:39 +0000 2019,165,10
Hearthstone,1209608880,877640,RT @HSesports: IN JUST 3 WEEKS the top 16 players will come together for the final chapter of #HCT! The 2019 World Championship begins Apri…,HCT,Tue Apr 02 19:29:51 +0000 2019,286,55
Hearthstone,1209608880,877640,"RT @LittleRedHS: Are you ready to join forces with the League of E.V.I.L.? 

Not so fast, lackey-wannabe - you don't even have a villainous…",[],Tue Apr 02 18:24:04 +0000 2019,251,41
Hearthstone,1209608880,877640,"Watch some of your favorite streamers craft decks and play #RiseOfShadows in its entirety before it launches! 

-… https://t.co/0xLUB6B3mm",RiseOfShadows,Tue Apr 02 17:00:33 +0000 2019,557,51
Hearthstone,1209608880,877640,"RT @G2Thijs: Thanks Blizzard for giving me a card reveal. 
Here is the newest Neutral Legendary of Rise of Shadows, Archivist Elysiana!

ht…",[],Tue Apr 02 14:55:29 +0000 2019,403,18
Hearthstone,1209608880,877640,"Open your Rise of Shadows packs early by attending or organizing a Hearthstone pre-release event!
More info ➡️… https://t.co/HprdXTYEB6",[],Tue Apr 02 14:18:44 +0000 2019,241,32
Hearthstone,1209608880,877640,"Will you be ready for the League of E.V.I.L. when they arrive April 9th? #RiseOfShadows

Full Card Gallery:… https://t.co/XYFYFk5uIm",RiseOfShadows,Mon Apr 01 22:53:16 +0000 2019,171,18
Hearthstone,1209608880,877640,"A few more #RiseOfShadows cards are dropping in!

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/EOHeVD23lk",RiseOfShadows,Mon Apr 01 22:53:15 +0000 2019,199,20
Hearthstone,1209608880,877640,"RT @Blizzard_ANZ: The only thing better than spells is MORE SPELLS! 

Check out the @IGN_AU Card Reveal for #RiseOfShadows 👀 https://t.co/E…",RiseOfShadows,Mon Apr 01 22:12:32 +0000 2019,77,8
Hearthstone,1209608880,877640,Add some evil to your collection with the Card of Shadows card back by winning 5 Ranked games during the month of A… https://t.co/MQidBHhkRk,[],Mon Apr 01 20:00:10 +0000 2019,289,35
Hearthstone,1209608880,877640,"Join Brian Kibler, Senior Hearthstone Designer Dean Ayala, and Community Manager Chris Sierra for our final… https://t.co/J1rVq5p1uU",[],Mon Apr 01 18:01:02 +0000 2019,425,67
Hearthstone,1209608880,877640,"Sending the streets of Dalaran into chaos! #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/RluKRMMZSX",RiseOfShadows,Sat Mar 30 19:49:53 +0000 2019,122,10
Hearthstone,1209608880,877640,"As sinister plots are put into action by powerful minions! #RiseOfShadows

Full Card Gallery:… https://t.co/l9DXqXmGHT",RiseOfShadows,Sat Mar 30 19:49:52 +0000 2019,123,8
Hearthstone,1209608880,877640,"Unseen dangers lurk around every corner! #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/8xOV4kSSnF",RiseOfShadows,Sat Mar 30 19:49:52 +0000 2019,56,5
