Author,Author_id,Comment,Comment_id,Comment_like,Comment_reply,Comment_published,Video_title,Video_id,Comment_count,Video_like,Video_dislike
JimPnd,UCsLUlobEwbQ6jUgET69_hiQ,RIP Tony Stark (endgame),UgwRC_LzrUlzRt6D6Zp4AaABAg,0,0,2019-04-25T18:20:27.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
F T,UC3fzdJmb1ZdPy73a1mD3UYg,You fucked up  season 7  mr benioff and weiss please give us a good season now,UgzJhlTj9xwo4xmv29R4AaABAg,1,0,2019-04-25T17:59:46.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
darth vader,UCT6WMaNZGBGVDRXr-wp_Xbg,Endgame- iron man dies😭😭😭,Ugy2vsEYeERXCzJIFWx4AaABAg,0,2,2019-04-25T14:45:34.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Rizahri,UCflUCSGabxN3TWoetQNmGMw,0:16 varys seeing the dead of the crypt?,UgxB50gEepVerrT_KgJ4AaABAg,0,1,2019-04-25T14:44:43.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Hải Trương,UCdXKSbxR0KJre-R2suCXYcw,WARNING: “i don’t want to die a virgin” card only work if you are a girl or a super hot guy like Jamie. Fugly guys should never try dis at home,UgylzdLUYdgM_xcAPsJ4AaABAg,1,0,2019-04-25T12:03:18.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
samusa03,UCbAyOLhRV8e1YlY6DjCLxig,"I have never been more excited for a fight since Adrien said ""Win"" in Rocky 2.",Ugwq951DxYSnLiLozvx4AaABAg,1,0,2019-04-25T11:43:22.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Fernanda Trancoso,UCvkBs3qRKY6VoDVQY94w3uA,In 1:26 i think arya is fighting a dragon 😱,UgwHOaiLjH9E1xsogvJ4AaABAg,1,3,2019-04-25T10:11:29.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
BestClips MoviesAndSeries,UCCvHndMBrLn5owIX3ds0HkA,"check my new channel guyz i m fan of game of thrones !
i need some support , it s new channel",UgyXp_C3y_m7CyKxRUN4AaABAg,0,0,2019-04-25T09:08:55.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Meet Hindocha,UCBJtnaxbOVKhMoEF7L7wUdQ,Does anyone want to know how giantsbane got his name?,UgzxCT-InWQEXGX1o054AaABAg,1,0,2019-04-25T07:26:40.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
abhishek rapper,UCfWsgVEFMz9M9g2Ads7WH5Q,When is episode 3 going to come cant wait 🙃,UgxaGoHqFL6Q1I52iOZ4AaABAg,1,4,2019-04-25T06:30:46.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
